,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2
0,1,1,0.1692799843047137,4.220219894901632,0.0010570796765175805
1,61,1,0.16919674324481207,4.219601337217113,0.0013498883699332165
2,121,1,0.1691828634767924,4.218895871375942,0.0016837846751558416
3,181,1,0.1691945777838233,4.21916989914266,0.001554094227364744
4,241,1,0.1692262363082991,4.2189998655640695,0.0016345678340564662
5,301,1,0.16921146292995526,4.219491047120231,0.0014020922486174259
6,361,1,0.16917212732036832,4.219337178867563,0.0014749208015952808
7,421,1,0.16921130938385825,4.220672304069446,0.0008428940795032203
8,481,1,0.16921152957699218,4.220023318932852,0.0011501381444828374
9,541,1,0.16924123868377533,4.221117145102002,0.0006322691036299011
10,1,1250,0.12148513812234009,2.8604655617186325,0.5410726300980817
11,61,1250,0.09207781183346898,2.2801492367026572,0.7083935957721847
12,121,1250,0.09177571931039369,2.276705402837264,0.7092737887102762
13,181,1250,0.09111081157144672,2.2717344333739766,0.7105419487437177
14,241,1250,0.09237964028317555,2.3074288069287845,0.701374332985401
15,301,1250,0.09218883076617643,2.2860779892630996,0.7068751777257466
16,361,1250,0.0921028673594324,2.282784657882914,0.7077191225357626
17,421,1250,0.09196796729105015,2.284951665815252,0.7071639448025533
18,481,1250,0.09172064371934409,2.275239697074309,0.7096479977919998
19,541,1250,0.09194607713334285,2.275324704849876,0.7096263010547637
20,1,2500,0.1077192997336611,2.5588470916693256,0.6327522179467236
21,61,2500,0.062391183580480535,1.6076305995123799,0.855041715689644
22,121,2500,0.06216121159711635,1.5869218354143677,0.858752235154669
23,181,2500,0.06242381432003155,1.602637185519638,0.8559408184829176
24,241,2500,0.0622066815548267,1.5947261285744596,0.8573595395266036
25,301,2500,0.06210670633569548,1.5934370868216798,0.8575900433022816
26,361,2500,0.06182998746825197,1.5882232722815985,0.8585204651681803
27,421,2500,0.06224067272843231,1.6033552874881278,0.8558116908684238
28,481,2500,0.06207343508458362,1.5935815742668042,0.8575642156321779
29,541,2500,0.0625849516766895,1.5946571864473829,0.8573718723328567
30,1,3750,0.10029465452053259,2.4316403746322997,0.6683582456945112
31,61,3750,0.0455198636490672,1.2233626590158682,0.9160576829352041
32,121,3750,0.046028561187345246,1.2273027408237542,0.9155161064858423
33,181,3750,0.045936253392831375,1.2294282353504544,0.9152232275721605
34,241,3750,0.04615070334673431,1.2325161213517013,0.9147968346333634
35,301,3750,0.04546117288982675,1.2289971295321145,0.9152826720374262
36,361,3750,0.045844878537328826,1.2189364263958424,0.9166640053079695
37,421,3750,0.045814451365321814,1.2284833634405727,0.9153534871629028
38,481,3750,0.04562809254435272,1.2205094926283937,0.9164487723791698
39,541,3750,0.045951604714784794,1.2321394485180466,0.9148489050494041
