,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2,Train CRMSD,Train data based prediction,Train data Standard Deviation,Train Pearson Correlation coefficient
0,1,1,0.16399856283283987,4.085954582787248,0.0008430123768196074,4.136079114119781,0.002893232707691988,4.087677927606792,0.5958841415575773
1,1,501,0.14165558906292913,3.371572714227566,0.3196823771006756,3.379501666479614,1.028486427840083,4.087677927606792,0.7612121816351198
2,1,1001,0.12683564936393155,2.950882460675153,0.4788647115826019,2.9508166661842736,1.7577287983411165,4.087677927606792,0.7718636030286798
3,1,1501,0.11822191286291583,2.731778366741214,0.5533806007677977,2.7317736271455866,2.2128564604612677,4.087677927606792,0.7817969346139306
4,1,2001,0.11204203570263141,2.611413244922853,0.5918706147129567,2.611604920045417,2.471535653216041,4.087677927606792,0.7917756639703736
5,1,2501,0.10832861162626084,2.5356905025837153,0.6151963807935708,2.536267302612733,2.6456329707976907,4.087677927606792,0.7988705028420342
6,1,3001,0.1047371446921178,2.4799649747626447,0.6319237848740612,2.4798787410016083,2.724931779798559,4.087677927606792,0.8073054571731557
7,1,3501,0.10236199008391006,2.439105718329564,0.6439525261271407,2.439192311269145,2.8024280228635785,4.087677927606792,0.8124353340195318
8,1,4001,0.09990228699602464,2.3990822492546355,0.6555414771105497,2.3990795849829816,2.885532061934127,4.087677927606792,0.8172793888249615
9,1,4501,0.0983781208786323,2.368647802351344,0.6642255554254067,2.368567662499333,2.877687282035082,4.087677927606792,0.823769993144579
10,150,1,0.16396356189797662,4.084851870766287,0.0013822419374851513,4.135037021575503,0.004095222397425364,4.087677927606792,0.6903489374863301
11,150,501,0.1220509393579817,3.0361784792393776,0.4483021959603841,3.071457718142493,1.2185180513667981,4.087677927606792,0.9014003432103911
12,150,1001,0.0965258779012534,2.390340999941481,0.6580470289073342,2.4160121814552706,2.007934969558402,4.087677927606792,0.9158761889686557
13,150,1501,0.07906058862309949,1.9989446867861649,0.7608622086997896,2.0179523690303722,2.504017268100231,4.087677927606792,0.9278051035209933
14,150,2001,0.06625011908195111,1.698720935682714,0.8273006358635335,1.7112971662939604,2.8455335264899353,4.087677927606792,0.9426162676077299
15,150,2501,0.05712052208230013,1.4891490856081944,0.8672840810966541,1.4987973575040467,3.099767975571704,4.087677927606792,0.9511908874431836
16,150,3001,0.049345641501265754,1.3170870258648646,0.8961812959212032,1.3233772404250657,3.2737472843724538,4.087677927606792,0.9600205921636094
17,150,3501,0.04304045053624783,1.1769281695880398,0.917101518468184,1.1850535930759714,3.3803851022787,4.087677927606792,0.96811403119295
18,150,4001,0.037742910167116325,1.0565146344033658,0.9331967342004348,1.0624773578108737,3.485237751307724,4.087677927606792,0.9736395818859267
19,150,4501,0.03344886144706216,0.9520827830085684,0.9457504570775941,0.9572427975514938,3.561263988768004,4.087677927606792,0.9784363465760132
20,300,1,0.1639329849448013,4.0846887853083285,0.0014619788721415006,4.134829434779286,0.0037350298033397944,4.087677927606792,0.8004676111420117
21,300,501,0.12230367571637303,3.033578808314467,0.44924655330488705,3.0693174102402727,1.225045405433372,4.087677927606792,0.8997958174409246
22,300,1001,0.09630505869219033,2.3904093056023323,0.6580274855389219,2.4173043560506793,1.9952418235730345,4.087677927606792,0.9187233837721411
23,300,1501,0.07924559622640619,1.9715723596582027,0.7673665818231796,1.9894253767597054,2.5360701000712287,4.087677927606792,0.9288360834404468
24,300,2001,0.06636448048962683,1.6882163679937625,0.8294299120713295,1.6993201585343096,2.86417981350837,4.087677927606792,0.9424146914035899
25,300,2501,0.057210007480890945,1.5017722571976022,0.8650245405572119,1.5109898903339225,3.0711897361035363,4.087677927606792,0.951553871830497
26,300,3001,0.049466430339960274,1.3280097981186543,0.8944521919326953,1.336412433136742,3.2389030094634252,4.087677927606792,0.9607904001963199
27,300,3501,0.0432897552953555,1.1793437509611902,0.9167608799616883,1.1857563012274912,3.3873308994187523,4.087677927606792,0.9675683146284723
28,300,4001,0.037722877051573143,1.055821528592358,0.9332843554080148,1.0621034561364477,3.4780055712558027,4.087677927606792,0.9739690896681997
29,300,4501,0.03378134370312663,0.946085888390767,0.9464317092159216,0.9517241722435589,3.5671168327834444,4.087677927606792,0.9786362013102206
30,450,1,0.16391646951761682,4.084502683594936,0.001552965193554301,4.13474351943798,0.004181131678071997,4.087677927606792,0.7596441880382266
31,450,501,0.12237803356591218,3.0430105379750474,0.44581652351324186,3.081011166195242,1.2099814562041211,4.087677927606792,0.9014270852761047
32,450,1001,0.09673967794747125,2.397184151272956,0.6560863166092936,2.4235274188196265,1.9953609504205991,4.087677927606792,0.9166889195261404
33,450,1501,0.07881211345387154,1.9819850837164572,0.7649028180058882,1.9993545119866487,2.4903645016331546,4.087677927606792,0.9328570566447072
34,450,2001,0.06580662104401462,1.6836854953334102,0.8303442430678963,1.6974451013276668,2.8555244432790947,4.087677927606792,0.9440158936767999
35,450,2501,0.05589255163933608,1.4777738138139849,0.8693039105595669,1.4871931869713133,3.0954142993437084,4.087677927606792,0.9529212582219269
36,450,3001,0.04917904165751569,1.3190054700221312,0.8958786349181599,1.3265460320828941,3.260700612596593,4.087677927606792,0.9605108363081525
37,450,3501,0.043127667630681654,1.1841693995212805,0.9160782892517036,1.19131012371142,3.3911036017629184,4.087677927606792,0.9670086036973715
38,450,4001,0.03819462278417746,1.0712078105531004,0.9313257189811844,1.0776071930212294,3.4739442503205047,4.087677927606792,0.9729658021374608
39,450,4501,0.03399340502084935,0.9588752377501231,0.9449736296333676,0.9652033043415944,3.562095285127738,4.087677927606792,0.9779583395798123
